Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
+grupanya,Broad match,Enabled,Enabled,Enabled,"TRY1,011,140.08","3,186,418",65.19%
fırsat,Broad match,Enabled,Enabled,Enabled,"TRY333,233.91","180,118",16.58%
fırsat,Broad match,Enabled,Enabled,Enabled,"TRY190,163.58","66,494",17.03%
masaj fırsat,Broad match,Enabled,Enabled,Enabled,"TRY141,012.61","73,900",15.86%
firsatlar,Broad match,Enabled,Enabled,Enabled,"TRY120,738.14","159,610",16.89%
fırsat masaj istanbul,Broad match,Enabled,Enabled,Enabled,"TRY107,517.74","61,427",18.46%
+grupanya +spa,Broad match,Enabled,Enabled,Enabled,"TRY83,695.93","35,027",57.08%
+grupanya +fırsat,Broad match,Enabled,Enabled,Enabled,"TRY82,777.56","53,607",61.14%
grupanya fırsat,Broad match,Enabled,Paused,Enabled,"TRY62,248.61","31,407",54.44%
grupanya,Broad match,Enabled,Enabled,Enabled,"TRY59,698.65","101,129",72.40%
istanbul masaj,Broad match,Enabled,Enabled,Enabled,"TRY56,430.95","13,234",11.42%
istanbul şehir fırsatı,Broad match,Enabled,Paused,Enabled,"TRY46,825.76","52,214",14.55%
grupanya spa,Broad match,Enabled,Enabled,Enabled,"TRY43,241.26","11,473",18.47%
masaj salonu,Broad match,Enabled,Enabled,Enabled,"TRY39,182.19","9,099",10.66%
+grupanya +fırsatları,Broad match,Enabled,Enabled,Enabled,"TRY38,034.16","27,780",60.35%
sehir fırsatı,Broad match,Enabled,Paused,Enabled,"TRY36,516.42","40,678",30.12%
+grupanya +otel,Broad match,Enabled,Enabled,Enabled,"TRY33,698.18","36,141",56.95%
+masaj +fırsatları,Broad match,Enabled,Enabled,Enabled,"TRY33,296.26","12,983",34.87%
İzmir şehir fırsatları,Broad match,Enabled,Enabled,Enabled,"TRY30,595.37","35,240",20.45%
masaj istanbul,Broad match,Enabled,Enabled,Enabled,"TRY29,409.37","7,265",10.90%
+grupanya +kampanya,Broad match,Enabled,Enabled,Enabled,"TRY25,813.29","14,896",50.45%
antalya fırsatları,Broad match,Enabled,Enabled,Enabled,"TRY21,445.71","23,122",10.56%
çift masajı fırsat,Broad match,Enabled,Enabled,Enabled,"TRY20,421.33","5,842",29.83%
groupon,Broad match,Enabled,Paused,Enabled,"TRY20,206.20","13,352",29.61%
firsat bu firsat,Broad match,Enabled,Paused,Enabled,"TRY19,916.20","19,199",11.78%
emaar akvaryum,Broad match,Enabled,Enabled,Paused,"TRY19,095.42","3,012",4.37%
masaj kampanya,Broad match,Enabled,Enabled,Enabled,"TRY18,347.85","4,999",33.40%
otel masaj,Broad match,Enabled,Enabled,Enabled,"TRY18,111.76","4,288",9.58%
masaj fırsatları Ankara,Broad match,Enabled,Paused,Enabled,"TRY17,421.65","5,078",17.96%
kahvaltı mekanları,Broad match,Paused,Enabled,Enabled,"TRY16,529.45","19,091",13.16%
grupanya otel,Broad match,Enabled,Enabled,Enabled,"TRY16,102.73","11,013",59.38%
+şehir +fırsatları +tatil,Broad match,Enabled,Paused,Enabled,"TRY15,914.56","3,710",21.61%
şehir fırsatları İzmir,Broad match,Enabled,Enabled,Enabled,"TRY15,865.99","18,996",23.19%
+fırsat +siteleri,Broad match,Enabled,Paused,Enabled,"TRY15,029.11","9,562",36.00%
+masaj +fiyatları,Broad match,Enabled,Paused,Enabled,"TRY14,965.32","6,577",13.33%
+şehir +fırsatları,Broad match,Enabled,Paused,Enabled,"TRY14,809.28","17,547",37.44%
+masaj +fırsatı,Broad match,Enabled,Paused,Enabled,"TRY14,625.65","4,980",42.59%
sehir firsatlari istanbul,Broad match,Enabled,Paused,Enabled,"TRY14,579.12","15,923",20.11%
+şehir +fırsatları +istanbul +otel,Broad match,Enabled,Paused,Enabled,"TRY14,396.58","4,379",33.76%
spa masaj fiyatları,Broad match,Enabled,Enabled,Enabled,"TRY14,380.32","3,821",16.53%
fırsat bu firsat,Broad match,Enabled,Paused,Enabled,"TRY14,313.21","20,617",16.45%
hamam masaj fiyatları,Broad match,Enabled,Enabled,Enabled,"TRY13,845.46","7,749",10.44%
fırsat bu,Broad match,Enabled,Paused,Enabled,"TRY13,698.66","24,771",22.89%
sehir fırsat istanbul,Broad match,Enabled,Paused,Enabled,"TRY13,329.65","7,537",15.74%
fırsat bu fırsat güzellik,Broad match,Enabled,Paused,Enabled,"TRY13,019.49","8,183",29.77%
spa fırsatları İstanbul,Broad match,Enabled,Enabled,Enabled,"TRY12,533.74","3,335",12.87%
saafi döner,Broad match,Enabled,Enabled,Paused,"TRY12,477.72","10,281",9.41%
+grupanya +kahvaltı,Broad match,Enabled,Enabled,Enabled,"TRY12,314.49","42,611",67.85%
ankara şehir fırsatı,Broad match,Enabled,Enabled,Enabled,"TRY12,215.48","15,024",16.36%
masaj fiyatları,Broad match,Enabled,Paused,Enabled,"TRY12,155.03","3,489",8.59%
