Campaign Name,Ad Group Name,Campaign Group Name,Cost,Cost (Comparison),Clicks,Clicks (Comparison),Interactions,Interactions (Comparison)
PMax Grupanya Brand,,,"TRY1,416,679.70",TRY0.00,"903,995",0,"983,945",0
Hype / Grupanya / Brand / Pure Brand / Broad Match,Pure Brand,,"TRY1,086,868.16","TRY72,479.29","3,300,400","1,247,838","3,300,400","1,247,838"
Hype / Grupanya / Search / DSA - 2,,,"TRY955,060.49",TRY0.00,"834,294",0,"834,294",0
Hype / Grupanya / Jenerik / Search / Güzellik / İstanbul,Masaj Fırsatları,,"TRY557,107.40","TRY6,300.92","228,337","12,855","228,337","12,855"
Turkey-GRP3-Hotels,,GRP3 Campaigns,TRY0.00,"TRY509,624.18",0,"1,145,178",0,"1,145,178"
Hype / Grupanya / Jenerik / Search / Fırsat / İstanbul,Fırsat,,"TRY460,507.67","TRY12,465.69","349,660","23,114","349,660","23,114"
Mobile Android Universal App Download,,,TRY56.50,"TRY356,714.74",325,"3,770,438",325,"4,043,497"
Istanbul-GRP3,,GRP3 Campaigns,"TRY4,620.77","TRY338,360.89","2,371","1,349,372","2,371","1,349,372"
Hype / Grupanya / Brand + Kategori/ Broad match #2,Brand Etkinlik,,"TRY246,806.18",TRY0.00,"204,068",0,"204,068",0
Hype / Grupanya / Jenerik / Search / Fırsat / İstanbul #2,fırsatlar,,"TRY206,931.34",TRY0.00,"71,377",0,"71,377",0
Hype / Grupanya / Brand + Kategori/ Broad match #2,Brand Fırsat,,"TRY186,835.17",TRY0.00,"116,577",0,"116,577",0
Android Mobile Download,,,TRY0.00,"TRY152,612.49",0,"1,000,633",0,"1,000,633"
Ankara-GRP3,,GRP3 Campaigns,TRY0.00,"TRY149,707.54",0,"599,204",0,"599,204"
Hype / Grupanya / Search / DSA,,,"TRY75,627.44","TRY178,307.50","329,968","2,039,019","329,968","2,039,019"
Mobile Search Download Android,,,TRY0.00,"TRY87,410.18",0,"146,327",0,"146,327"
Hype / Grupanya / Jenerik / Search / Yemek / İstanbul,,,"TRY87,696.21","TRY2,107.49","85,004","8,166","85,004","8,166"
Hype / Grupanya / Jenerik / Search / Güzellik /Ankara,Masaj Fırsatları,,"TRY82,290.69","TRY1,648.65","26,872","2,303","26,872","2,303"
